Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Pinkmint,Cotton Spread Collar Long Sleeve Shirt for Men Formal Wear Office Wear Multicolour,3.7 out of 5 stars,313,₹379,"₹1,999",(81% off)
Peter England,Men's Slim Fit Full Sleeve Stretchable Solid Shirt | Lycra Comfort,4.7 out of 5 stars,14,"₹1,009","₹1,799",(44% off)
Thomas Scott,Men's Shirt,3.8 out of 5 stars,10,₹679,"₹2,999",(77% off)
Amazon Brand - Symbol,Men's Solid Cotton Rich Formal Shirt | Plain | Full Sleeve-Regular Fit (Available in Plus Size),3.8 out of 5 stars,"10,355",₹549,"₹1,699",(68% off)
FYLTR,Men's Regular Fit Solid Shirt - Full Sleeve| Functional Pocket | Contrast Trim Fabric | Formal Shirts for Men,4.7 out of 5 stars,78,₹579,"₹1,399",(59% off)
CVC,Men's Regular Fit Cotton Oxford Casual Checks Shirt with Full Sleeves,4.1 out of 5 stars,11,₹499,"₹1,999",(75% off)
SUBTRACT,Men's Slim Fit Solid Spread Collar Cotton Satin Evening Shirt | Stylish Men's Wear Shirt for Office or Party,4.9 out of 5 stars,11,"₹1,791","₹1,990",(10% off)
FYLTR,Men's Regular Fit Cotton Blend Shirt - Full Sleeve| Functional Pocket | Stylized Collar Band | Formal Shirts for Men,4.7 out of 5 stars,48,₹599,"₹1,449",(59% off)
Symbol Premium,Men's Wrinkle-Resistant Regular Fit Cotton Formal Shirt,4.0 out of 5 stars,499,"₹1,799","₹2,599",(31% off)
CVC,Men's Regular Fit Full Sleeve Poly Satin Silk Shirt,3.7 out of 5 stars,709,₹599,"₹3,199",(81% off)
Majestic Man,Men Comfort Slim Fit Opaque Checked Cotton Casual Shirt,3.7 out of 5 stars,22,₹399,"₹1,499",(73% off)
Arrow,Men's Printed Slim Fit Shirt,4.0 out of 5 stars,2,"₹1,019","₹2,199",(54% off)
Arrow,Men's Striped Slim Fit Shirt,3.5 out of 5 stars,3,"₹1,179","₹2,399",(51% off)
Pinkmint,Casual Cotton Blend Long Sleeve Light Beige Shirt for Men Formal Wear Regular Wear,3.7 out of 5 stars,88,₹379,"₹1,999",(81% off)
Raymond,Men Slim Fit Structure Pattern Pure Cotton Semi Cut Away Collar Full Sleeve Formal Shirt,na,na,"₹1,199","₹2,399",(50% off)
Park Avenue,Men's Pure Cotton Checks Pattern Regular Fit Semi Cutaway Collar Half Sleeve Formal Shirt,4.8 out of 5 stars,10,"₹1,034","₹2,299",(55% off)
U.S. POLO ASSN.,Men's Regular Fit Shirt,4.0 out of 5 stars,417,"₹1,609","₹2,299",(30% off)
Generic,"Men's Classic Striped Button-Down Shirt – Long Sleeves, Regular Fit, Casual & Formal Wear",na,na,₹399,"₹1,599",(75% off)
Dennis Lingo,Men's Solid Dusty Pink Casual Slim Fit Shirt (C301_Dusty Pink_Xl),3.7 out of 5 stars,"1,166",₹499,"₹1,849",(73% off)
Peter England,Men's Solid Regular Fit Shirt,4.1 out of 5 stars,231,₹929,"₹1,199",(23% off)
Allen Solly,Men's Solid Regular Fit Polo,4.1 out of 5 stars,"73,418",₹749,"₹1,099",(32% off)
Louis Philippe,Men's Solid Slim Fit Shirt,4.2 out of 5 stars,9,"₹1,324","₹2,499",(47% off)
Park Avenue,Men Regular Fit Shirt,4.0 out of 5 stars,65,₹944,"₹2,099",(55% off)
