Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Satrani,Women's Shimmer Chiffon Sequins Embroidery Saree with Unstitched Blouse Piece,5.0 out of 5 stars,2,"₹1,599","₹5,709",(72% off)
SGF11,Women's Kanjivaram Pure Soft Silk Saree With Unstitched Blouse Piece,3.9 out of 5 stars,14,"₹1,899","₹5,999",(68% off)
Soch,Womens Fuchsia Silk Blend Embroidered Saree With Sequins,na,na,"₹4,058","₹5,998",(32% off)
Generic,Handloom Pure Cotton Saree With Multicolour Design Including Blouse Pice By Kamana Textile,3.9 out of 5 stars,11,₹599,₹299.50,(54% off)
Shiv Textiles,Womens Saree For Women,na,na,₹299,₹499,(40% off)
Garden Vareli,Floral Print Organza Saree,3.0 out of 5 stars,1,"₹1,699","₹3,599",(53% off)
Vimla,Women's Multicolor Malgudi Art Silk Uniform Saree with Blouse Piece (24-Single),3.9 out of 5 stars,69,₹599,₹999,(40% off)
Shiv Textiles,Womens Saree For Women,na,na,₹299,₹499,(40% off)
MIRCHI FASHION,Women's Stylish Chiffon Colorblock Foil Printed Saree with Blouse Piece,3.7 out of 5 stars,114,₹579,₹346.71,(84% off)
Vinayak Textile,Women's Light Blue Georgette Saree With Blouse (Ananya 12),4.4 out of 5 stars,3,₹999,"₹2,499",(60% off)
Generic,Women Ethnic Women's Red Color Satin Striped Saree Without Blouse Piece MD_WB_SAT6010_2,5.0 out of 5 stars,1,₹349,"₹1,999",(83% off)
Yashika,Women's Trendy Printed Georgette Purple Color Saree with Blouse Material,3.3 out of 5 stars,541,₹259,"₹1,799",(86% off)
SIRIL,Women's Floral Printed Georgette Saree with Unstitched Blouse Piece,3.4 out of 5 stars,994,₹289,"₹1,614",(82% off)
EthnicJunction,Women's Silk Blend Woven Paithani saree With Blouse Piece,4.3 out of 5 stars,39,₹469,"₹2,276",(79% off)
Avantika Fashion,Women's Kanjivaram Soft Semi Silk Banarasi Sarees With Blouse Piece.,3.9 out of 5 stars,114,₹616,"₹2,499",(75% off)
MIRCHI FASHION,Women's Chiffon Floral Printed Saree with Blouse Piece,4.3 out of 5 stars,25,₹469,₹280,(83% off)
Yashika,Womens Woven Printed Art Silk Saree with Unstitched Blouse Material,3.2 out of 5 stars,52,₹264,"₹1,799",(85% off)
EthnicJunction,Women's Silk Blend Woven Banarasi Saree With Blouse Piece,3.5 out of 5 stars,27,₹799,"₹3,596",(78% off)
Generic,Women Ethnic Sarees Women's Satin Striped Printed Saree With Blouse Piece PL_WB_SAT6010_6,na,na,₹599,"₹1,999",(70% off)
